description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
Keeps getting better and better. One of the most attractive environments around. Not too noisy. Great location for pre-theater dining. Only reservation:wine list too heavily skewed to very expensive offerings.,4,unknown,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown
"I have only been there twice for dinner, but each time I was there all of my dishes were too salty for me, such that I didn't finish.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was excellent. We will return soon.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
My dinner was delicious. my wife's dinner was tasty also. Would recommend to return. Very underrated.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Pasta was very bad. Chicken Daviola has been over-hyped by New York Magazine, as it was nothing special.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Our appetizers as always were delicious. However, we cancelled our main course order and left as our server/bartender was friendly. Will not be going back.",2,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Great Service, but some of the Worst Italian Food that I have ever had.",2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Despite the very hectic atmosphere as it was Valentine's Day, the food was great and so was the service.",4,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Service was SLOW!!!!! It took over an hour to get 4 sandwiches on a Thursday night. It wasn't as if the restaurant was busy. Food was just ok.,2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Dewey was very attentive to our needs and made my first visit to Buca very enjoyable.,5,unknown,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive
our 4th time to the restaurant - a must visit for us when we're in NY.,5,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive
LIVE MUSIC WAS perfect volume and we could still talk,4,unknown,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was exceptional, but service was terrible this time.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food basically tasteless. Overpriced. Better Italian places in Jackson without driving to village. Tried it once, won't be back.",2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Go for after work drinks, skip the food. While not too bad, it is way overpriced and service is poor. Do not order wine.",2,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Great food, poor and very snobbish service but quiet atmosphere.",3,Positive,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Piedmonte and Umbia come to life at Pelago. Service is outstanding.,5,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
Amazing way with seafood. Try the Lasagnette pasta course and the shrimp with crabmeat salad. It was quite noisy but You'll certainly want to clean your plate.,4,Positive,unknown,unknown,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"The Tasting Menu is the way to go. Once in a lifetime experience, but the service could improve a lot.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Pricey and the food is not that good. My friend and I ordered the shrimp scampi and it was tasteless - not even a hint of garlic,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was so-so, my spinach salad was very bland save the skirt steak. Food and service were both certainly a let down.",2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was just okay and the service was not great, but it was far too loud; would not recommend",2,Negative,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"absolutely loved it good food good people, but very loud",4,Positive,unknown,Positive,Negative,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"We love this place. Excellent food, lovely dining room, gracious service with excellent timing.",5,Positive,Positive,Positive,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
Expensive relative to the ratings I would assign each category. I must say the vibe was great though.,3,unknown,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
food too pricey....quality of food not worth the cost,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"It was alright, nice and quiet - I would consider dining again but it will not be a destination for a night out.",3,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I was delighted to find this restaurant at a convenient location for the theatre. It was a very pleasurable experience.,5,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Service was very attentive but the food mediocre..clearly they are just appealing to tourists and could care less if you come back.,3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Meal was forgetful. Definitely do not recommend their tasting menus - a terrible value. However the recommended new Italian wines at the beginning of the wine list are excellent.,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great dinner and the place was nice and quiet. Loved the cheese course presentation.,5,Positive,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
A pleasure as always and an honor to have the chef come by personally to greet us.,5,unknown,unknown,Positive,unknown,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown
Outstanding Brunch. The Food was just immaculate. The waffle of the day was suuclent and melt in your mouth.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Location is what it has going for it along with the excellent food.,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Unfortunately we were so disappointed.,1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,Negative
"Disappointed. Food was ok,not great. Very loud. Table was very crowded. Definitely so-so.",3,Negative,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We had a very nice evening. The service was terrific, the food was delish, and very reasonably priced.",5,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"the omelette I ordered was overcooked - I've had better at IHOP.  Can't stand the noise, either.",1,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
When this was La Bufala it was much better. The service has gone way down hill. Pizza was still good but stay away.,2,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
People love this place but it just doesn't suit my palate. Its good but not great like Angelini Osteria or Valentinos. Nice and quiet,3,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Hate the new menu!!!! Used to be a favorite, but I won't be going back :(",1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
$12 for a very small glass of house wine is crazy.,1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Always great food at a reasonable price. The service is great.,5,Positive,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"pancetta pizza was bad, shrimp was very avg, asparagus was not tasty, service (food) was slow but it was before a sharks game so everyone probably ordered at the same time",2,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Love this Restaurant and glad they changed the menu, it only made the place better.",5,unknown,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Pizza was great and the service was excellent. We happened to be there on Tuesday--all bottles of wine were half off, so that was a nice treat.",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Great food! Wonderful experience.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Food and Service were fantastic.,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Enjoyed the ambiance.,4,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
"My wife and I went for a Valentine's Day dinner. We very much enjoyed the food, especially the steak. However, the service was less than friendly and attentive.",4,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We have eaten at Aperto many times. This time, however, the brunch was uninspiring with a mediocre omelette, sad looking potatoes and the food was luke warm. Next time, I'll stick with the pasta.",3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Our food was excellent but the service was poor. Would recommend for food.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The architecture and ambiance are great at Mercer Kitchen.,5,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown
"The food was very good, but the service was a bit spotty and rushed. The restaurant itself could use some sprucing up, especially in the back of the house. At the very least, it's quiet.",3,Positive,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was great and the atmosphere is awesome! Great place!,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Great food.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Had to wait 40min even w res. Service was sllllooooowwwwww.
Food, when we got it, was good.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"Server was rushed and indifferent. He would have eye contact with my wife but not me. I considered him rude. Furthermore, the restaurant itself was drab and uninteresting.",1,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
food is not what is used to be. still loud as ever here. nothing special.,2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was not up to its reputation.,2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I couldn't cut my yellow fin tuna with a steak knife it was so sinewy. Waitstaff kindly offered to take our coats but the tables are so small there was no where to place them. I won't be back.,2,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Prices were reasonable. The pizza was about average and the Pinot Noir available was below average.,3,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We enjoyed our experience at Cero and have eaten there when the hotel was a St Regis. We would definitely go back.,5,unknown,unknown,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Food was nothing special. My grouper was served barely lukewarm. Dessert was average. We are big fans of Reef and expected more. Will not be back.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Not too loud. Food was great, and not too noisy to enjoy it.",4,Positive,Positive,unknown,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"I have never been treated so rudely. The waitress was smarmy and arrogant. She acted as if we were too much trouble and not apparently fabulous enough for her to waste any of her time. The food wasn't even that good, either.",1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Our experience at this restaurant was fair.The service was very good and the server was quite attendant.The food, however, was fair.The outside space is very noisy, though it has cute character.We will not return.",2,Negative,Positive,Positive,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown
The food was fantastic. The ambiance was great and prices are very reasonable.,5,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I feel so unlucky to have Rustico so close to home. An all-around TERRIBLE restaurant!,1,Positive,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Over price! Over Price! Too noisy! I will never go back.,1,unknown,unknown,unknown,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Risotto was undercooked. Branzino was not super fresh. Prices are too high for the quality of food.,1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
It was not very hot either. Did not want to complain anymore.,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Was not very impressed with this particular restaurant and probably would not go a second time. The ambiance was nice though.,2,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"An hour's wait after the confirmed reservation time, but well handled by staff.  The atmosphere was terrible as well.",2,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
Menu was interesting--pizzas were delicious. Staff friendly and efficient. Fabulous locale if you're going to a ballgame.,5,Positive,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
Menu had lots of interesting choices. Spinach salad and amberjack fish special were awesome. Celebration across restauratn at sunset was fun!,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Ambiance was good, and food was good but priced to high - would not return",3,Positive,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Will definitely go again.Superb service despite not having the first 5 things on their menu that we ordered.,4,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Excellent, food, service, great wine list and reasonably priced!",5,Positive,unknown,Positive,unknown,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
terrible food and not very accomodating.,1,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
My cobb salad was almost inedible. My server asked about it and was attentive.,2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Other than filling the water glasses, the wait staff was disinterested in our table. The acoustics are awesome so the lounge music crept in with really good effect.",3,unknown,Negative,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was disappointing, would not come back nor recommend to anyone",1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
THE WAITRESS WAS NOT VERY KNOWLEDGABLE.,3,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Wonderful spot, bad comfort food. All the breads are over cooked, and the pig in a poke was horrible. Stumptown coffee, and glazed donuts to boot! Will definitely return..",3,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"The food was just okay.
It wasn't great. Great location, okay food.
Don't eat the cashew crusted Mahi Mahi.
It was a salt and fat plate. Stick with the wood
grilled food. Presentation was very good. Service was slow.",3,Negative,unknown,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
The food is always good. I wish they would have had their special dinner menu for $16.95 because that is the best deal in town. But it is still very pleasant.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"I liked the menu, but was pretty underwhelmed with the food itself. The food was good, but nothing memorable, and really not worth the price. The ambiance was awful, it just made me want to leave.",2,Negative,Negative,unknown,unknown,unknown,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Salads excellent; entree of grouper salty and small. Very slow service when it came to getting entree.,3,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Food was good but for the price I expected better. The mood in the building was dark and unsettling.,3,Positive,Negative,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
food was good but by the time the server arrive at the table the food was cold,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
As always dinner was wonderful.,5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"a very enjoyable dining experience, especially the atmosphere of the dining room; would recommend to anyone.",5,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Hae been here a few times and it is just okay - Entrees and wine list a bit pricey for what it is. The noise was amazing, very quiet.",3,Negative,unknown,unknown,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Service was good and we were quite happy with our appetizer meal orders. Friendly server.,5,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We had restaurant week menu. Overall it's OK but not very impressed and feel kind of pricey bases on the service or food we had. Nice and quiet inside, though.",3,Negative,unknown,Negative,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The staff was the best dinning service in my life, but the atmosphere was very outdated. The lighting was too bright and the music was too loud.",3,unknown,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very poor service and food, this is a second try for this restaurant -will not give them another shot.",1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was ok! We waited 55 mins to get served. The restarant wasnt even crowded. When we finally said something, they just said sorry. Coffee was also awful, burnt!",2,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
"The experience was excellant, would very much go again.",5,unknown,unknown,unknown,unknown,Positive,unknown,Positive,unknown,Positive,Positive,unknown,unknown,Positive
This is my favorite restaurant in Orange County even though it's much too loud.,4,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was bland and not memorable. Skip.,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We were seated on a Saturday night at 7:30...no water or waiter for 20 minutes...got up and left. Worst service since they opened the restaurant. Not going back.,1,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
Overrated...definitely not worth the money,2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Overpriced pasta dishes! But the Joey & Eddie's salad was fantastic.,3,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"the food arrived fresh and the service was slow, even though our expectations were already low...",2,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
great service. Overall great experience.,5,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
About the worst restaurant food we've had in NY. We each ordered fish. Both dishes were absolutely tasteless. but we'd never go back.,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very nice Mother's Day experience. Food was excellent, but the ambience wasn't that great.",4,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I was not at all impressed with the food, I will not go back again. I had Wallu on a bed of lentals, it did not look good and the lentals did nothing for me. And it was very expensive for what it was.",1,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was very good, service was excellent. Definitely recommend if the ambiance was a bit better.",4,Positive,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Our server was delightful.  The prices seemed high for the type of food that was being served. The wine and martini were sub par for the price.,2,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food was generally good, although all the dishes were somewhat salty. The place was serene and spacious.",4,Positive,Positive,unknown,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
One of our favorite spots for dinner in L.A.,5,Positive,unknown,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Have not been to Pier 4 in years. I was a regular customer for years when the father was

in charge. Probably won't be going back to Pier 4.",2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I was impressed with the food. My steak was delicious and the profiteroles was well made.,4,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We loved Market Table!,5,unknown,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,Positive,unknown,unknown,Positive
"Terrible all round. Bad Restaurant Week menu, bad service, food was awful. Thanks!",1,Negative,unknown,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"It was a lovely restaurant. But, for the price, the food could have been better. It lacked seasoning and flavor.",3,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Nice restaurant with good food. Plan on staying a while since service is quite slow. Food was luke warm at best.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"salads were not very tasty or fresh, entrees were good, and ambiance was perfect.",3,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We had a terrific evening at La Tavola--would highly recommend & would happily return here when in Baltimore. The wait staff really took care of us. Zagat review was right on target!,5,unknown,unknown,Positive,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"The food was mediocre and it was too loud... Having eaten at Lattanzi several times years ago, I was expecting much more.",3,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"This used to be one of my favorite restaurants. However, recently it seems as though the prices of meals have gone up and the quality and portions have gone down.",2,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Food was bland and boring. Will definitely not go back.,1,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
I made reservation for the wrong night and they weren't willing to help me when I came the next day. (I forgot to change the date and I made it for the day I was sending it in instead of the next day.),2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"They have a creative, elegant and hearty prix fix brunch, and it was a great place to bring my mom when she came to visit Pittsburgh for the first time, but not a good ambiance. Still, highly recommended!",4,Positive,Negative,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Excellent variety but bad presentation of the food. We have been back multiple times.,4,Negative,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
The ambiance is like eating lunch with your kid at school. The food was excellent!!!,4,Positive,Negative,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Positive
"Very good seafood with an impressive list of fresh-caught specials. Loud,dark. A little pricey, but very good quality and variety.",4,Positive,unknown,unknown,Negative,unknown,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Excellent restaurant! Have been going here for years and it has retaineed its' levels of excellence. The dining room is too loud though.,4,unknown,unknown,unknown,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Atmosphere, and decor are beautiful. The food is always excellent - something you can count on, but not the staff. You won't be dissapointed.",4,Positive,Positive,Negative,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
Disappointing for foodies who were expecting more from Jean -Georges trained talent even if the place had the right vibe.,2,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Menu and food was excellent. Service was unbelievably slow and too much noise.,3,Positive,unknown,Negative,Negative,unknown,unknown,unknown,Positive,Negative,unknown,unknown,unknown,unknown
Michael has forgotten his Mother's dishes on the menu. The menu needs to get back to basics.,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Loved it, we would definitely recommend it! I really loved the 90's feel of the interior.",5,unknown,Positive,unknown,unknown,Positive,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
A decent meal in the French Quarter. The signature dish-- the Red Fish-- is quite overpriced at nearly $33. The service was great though!,3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Usully my experience is exceptional. But this time the waitress was not very pleasant.,2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The food was just mediocre. The seating area was a bit cramped and the tables were kind of close together; doesn't allow for privacy.,1,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Although we were kept waiting a little too long to be seated despite our reservation, that little annoyance was exacerbated by terrible service, but an outstanding meal.",3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"The ambience was fun and energetic, the food was very mediocre and overpriced.",3,Negative,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Disappointing. Bland food. Prickly service but the ambiance was lovely, surprisingly.",2,Negative,Positive,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
The menu was lacking and looked like a lunch menu. Ian needs to do something quick.,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"Rude, rude, rude. While the food may have been tasty, it was overshadowed by the awful service and tack decor. I would never recommend this restaurant.",2,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Some of the best seafood you'll eat in Manhattan. Definitely an asset to the Upper East Side even though the vibes are off,4,Positive,Negative,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Fantastic spot in every way!! so very happy with the food, but disappointed in the staff and atmosphere.... mostly suburb!!! awful service, but great food!!!",3,Positive,Positive,Negative,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"Great setting, excellent service and good value. A favorite",5,unknown,Positive,Positive,unknown,unknown,Positive,Positive,unknown,unknown,Positive,unknown,unknown,unknown
Food was mediocre at best.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"We had big expectations and were disappointed, especially in the service.",2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Went for Mother's Day Brunch. The food was terrible!! The lighting was too harsh!,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The grilled chicken tasted like it had been boiled and then put on a grille. Yuck like the service.,1,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The food was well done, savory and delicious.",5,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"beautiful dining room, but
bread burned on bottom.
small portions.
will not eat there again",2,Negative,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
amazing was perfect,5,unknown,unknown,Positive,Positive,Positive,unknown,Positive,unknown,unknown,unknown,Positive,unknown,Positive
